ITEMNMBR,warehouse location,predicted_demand for location (item count),Current inventory for location (item count),Current gap (item count),Item value,Aggregate metric
D-15212,1,444.3272744882214,0.0,444.3272744882214,0.7153100088239095,-0.24680086203860285
D-15212,E1,0.0,0.0,0.0,0.7153100088239095,-0.24732891373806287
D-15212,L,0.0,0.0,0.0,0.7153100088239095,-0.24732891373806287
D-15212,U,0.0,0.0,0.0,0.7153100088239095,-0.24732891373806287
D-15212,W,0.0,0.0,0.0,0.7153100088239095,-0.24732891373806287
D-15220N,E1,51.69583333333333,0.0,51.69583333333333,0.7150592124024522,-0.24784696632376169
D-15220N,L,0.0,0.0,0.0,0.7150592124024522,-0.24790840318396368
D-15220N,U,0.0,0.0,0.0,0.7150592124024522,-0.24790840318396368
D-15220N,W,0.0,0.0,0.0,0.7150592124024522,-0.24790840318396368
F-04118,1,41922.62677711044,1440.54,40482.08677711044,0.694197707481601,-0.24800082127246426
F-04112,3,45787.741882630144,6813.35,38974.391882630145,0.6944773732591767,-0.24914641566956863
F-04117,W,0.0,25.27,-25.27,0.7138632057615277,-0.25070192409466197
F-04117,L,0.0,105.07,-105.07,0.7138632057615277,-0.250796760779323
F-04117,U,0.0,1147.19,-1147.19,0.7138632057615277,-0.25203524706778035
AC-B6SLJ,2,5988.2400434078645,0.0,5988.2400434078645,0.7097883118101123,-0.2529707280908212
AC-B6SLJ,1,5957.498310339344,0.0,5957.498310339344,0.7097883118101123,-0.2530072624773494
F-04220,E1,0.0,0.12,-0.12,0.7127659489829479,-0.25320735325278354
F-04220,W,0.0,0.71,-0.71,0.7127659489829479,-0.2532080544262666
F-04220,L,0.0,2.94,-2.94,0.7127659489829479,-0.2532107046243467
F-04220,U,0.0,32.14,-32.14,0.7127659489829479,-0.25324540676961116
F-04220,3,0.0,92.93,-92.93,0.7127659489829479,-0.2533176514069613
AC-B6SLJ,3,3601.329985567898,0.0,3601.329985567898,0.7097883118101123,-0.25580740273329605
F-04221,E1,0.0,0.14,-0.14,0.711332907723417,-0.2565185577815049
F-04221,W,0.0,0.85,-0.85,0.711332907723417,-0.25651940156654385
F-04221,L,0.0,3.52,-3.52,0.711332907723417,-0.25652257467366213
F-04221,U,0.0,38.38,-38.38,0.711332907723417,-0.25656400333064566
F-04221,3,0.0,110.99,-110.99,0.711332907723417,-0.25665029520625016
AC-B6SLJ,E1,371.25,0.0,371.25,0.7097883118101123,-0.25964612550298327
F-04075,L,23400.0,195.97,23204.03,0.6978947703399655,-0.25999215377988183
AC-B6SLJ,L,0.0,0.0,0.0,0.7097883118101123,-0.26008733000399065
AC-B6SLJ,U,0.0,0.0,0.0,0.7097883118101123,-0.26008733000399065
AC-B6SLJ,W,0.0,0.0,0.0,0.7097883118101123,-0.26008733000399065
A-61260,2,6154.853046383032,0.0,6154.853046383032,0.706379668212523,-0.26064872175316844
A-61260,1,3665.594154978947,0.0,3665.594154978947,0.706379668212523,-0.26360703078228653
