Item Number,Description,Case Pack,unit dimension (L*W*H) (in),inner case dimension (L*W*H) (in),master case dimension (L*W*H) (in),Case/ Pallet,UPC#,Mstr Ctn UPC#,Country of Origin,Shelf Life (Months),Maufactuer/ CoPacker,Lead Time,MOQ,Allergens
F-04130,POP Ginger Chews Plus+ Original 3 oz,EA6/6,7 x 5.12x 2.75,6.4 x 5.35x 10.2,16.3 x 10.4 x 13,50cs,039278041309,20039278041303,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04131,POP Ginger Chews Plus+ Lemon 3 oz,EA6/6,7 x 5.12x 2.75,6.4 x 5.35 x 10.2,16.3 x 10.4 x 13,50cs,039278041316,20039278041310,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04211,POP Ginger Chews Original 2 oz,EA12/6,6.75x 4.13x1.75,6.3x 4.13x4.72,12.8 x 9.6 x 12.8,70cs,039278042115,20039278042119,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04220,POP Ginger Chews Original 2 oz (24ct/cs),CASE,6.75x 4.13x1.75,6.3x 4.13x4.72,10x9x6.5,,039278042115,20039278042201,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
F-04221,POP Ginger Chews Lemon 2 oz (24ct/cs),CASE,6.75x 4.13x1.75,6.3x 4.13x4.72,10x9x6.6,,039278042122,20039278042218,Indonesia,24 months,SNA,3 months,40HQ,"Peanuts, Coconut"
D-04011,POP In Ginger Honey Cytl 18gx30,BAG30,12.5x9.75x3.5,,20.1x15x15,25 cs,0 39278040111,10039278040118,China,36 months ,HN,3 months,300 CASES,NO
D-04032,POP In Ginger H Cytl w/Turmeric 10ct(6x6),BOX6/6,5.13x3.13x3.75,10x8x6,17.12x10.55x19.09,36 cs,0 39278040326,20039278040320,China,36 months ,HN,3 months,100 CASES,NO
D-04033,POP In Ginger H Cytl w/Turmeric 18gx25,BAG30,12.5x9.75x3.5,,20.1x15x15,25 cs,0 39278040333,10039278040330,China,36 months ,HN,3 months,300 CASES,NO
D-04037,POP Ginger H Cytl Lemon 10ct(6x6),BOX6/6,5.13x3.13x3.75,10x8x6,17.12x10.55x19.09,36 cs,0 39278040371,20039278040375,China,36 months ,HN,3 months,100 CASES,NO
D-04043,POP In Ginger H Cytl w/Lemon 18gx30,BAG30,12.5x9.75x3.5,,20.1x15x15,25 cs,0 39278040432,10039278040439,China,36 months ,HN,3 months,300 CASES,NO
D-04061,POP Ginger Honey Cytl Original 10ct (6x6),BOX6/6,5.13x3.13x3.75,10x8x6,17.12x10.55x19.09,36 cs,0 39278040104,20039278040610,China,36 months ,HN,3 months,100 CASES,NO
J-63004,Mazola Corn Oil 40 oz,12 Bottles,11 x 4 x 2.25,,10.94 x 13.13 x 11.25,36,761720987490,,USA,1.5yrs,ACH,3~4wks,Truck load size,corn oil
J-63006,Mazola Corn Oil 128 oz (1 gal),6 Bottles,6.25 x 11 x 3.25,,13.63 x 15.88 x 12,36,761720058206,,USA,1.5yrs,ACH,3~4wks,Truck load size,corn oil
J-72402,Totole Chicken Bouillon 2.2 lbs,CAN12,,,21.3 x 15.7 x 7.7 ,60,6922130101461,788051218383,China,2 Yrs,TKN,1-2 weeks,4 pallets,"Sesame Oil, soy"
T-22010,Tiger Balm Ointment Extra Strength 18g,72,3.25 x 2.75 x 4.75,,13 x 11 x 7.25,72,039278220100,10039278220107,China,4 years,HPH,2.5,2314 dz,
T-31510,Tiger Balm Ointment Ultra Strength 18g,72,3.25 x 2.75 x 4.75,,13 x 11 x 7.25,72,039278315103,10039278315100,China,4 years,HPH,2.5,2314 dz,
